Timestamp,Age,Gender,Education Qualification(mention the specialization),Year of completion,Are you happy with the program what you studied/studying? ,What made you choose this course(program)?,"Is your chosen course/program your first preference? If not, what was it?",What are the factors or circumstances that influenced you to change your preference? ,What are your short-term future career plans? ,"In the current competitive scenario, how stressful do you feel on a scale of 10",How do you manage your stress?,Is the present examination pattern assessing the student’s knowledge appropriate? Share your thoughts.,Provide your views on university entrance examinations,"Rank based on preference the following teaching methods on a scale of 1-5 (1-Most preferable,5-least)
For example: If flipped classroom is given 1 then the other methods cannot have the preference 1. Active learning 2, Gamified 3 etc. Do not repeat the ranks. [Flipped class room – Reverse of traditional lectures. The lecture materials are read at home and self-learnt and problems are solved and doubts are cleared in classrooms.]","Rank based on preference the following teaching methods on a scale of 1-5 (1-Most preferable,5-least)
For example: If flipped classroom is given 1 then the other methods cannot have the preference 1. Active learning 2, Gamified 3 etc. Do not repeat the ranks. [Active learning: It’s a group-based learning. Active learning methods ask students to engage in           their learning by thinking, discussing, investigating, and creating.]","Rank based on preference the following teaching methods on a scale of 1-5 (1-Most preferable,5-least)
For example: If flipped classroom is given 1 then the other methods cannot have the preference 1. Active learning 2, Gamified 3 etc. Do not repeat the ranks. [Learning through doing projects and engages them with real life problems.]","Rank based on preference the following teaching methods on a scale of 1-5 (1-Most preferable,5-least)
For example: If flipped classroom is given 1 then the other methods cannot have the preference 1. Active learning 2, Gamified 3 etc. Do not repeat the ranks. [Hands-on-learning means learning by doing.]","Rank based on preference the following teaching methods on a scale of 1-5 (1-Most preferable,5-least)
For example: If flipped classroom is given 1 then the other methods cannot have the preference 1. Active learning 2, Gamified 3 etc. Do not repeat the ranks. [Gamified learning- Gamification in learning involves using game-based elements such as point scoring, peer competition, team work, score tables to drive engagement, help students assimilate new information and test their knowledge.]",How comfortably you learn on a scale of 1 to 10 when an instructor or friend explains the concept,"How comfortably you learn on a scale of 1 to 10 when   you self-learn using resources like online materials or videos, books, and resources.",What is your definition of success?,What do you want to achieve with your education?,"What are your suggestions to improve India’s education system to make it more knowledgeable and enjoyable?
 ",What is the reason behind your first preference?
10-08-2022 22:44,22,Female,Msc Data science ,5/31/2023,Somewhat ,Job opportunities ,Yes,I preferred Data science because of salary scope.,To get a high paying job and achieve a leading role in the industry.,5,"By watching Anime. And remembering what ever is meant for me will eventually come to me, no need to rush and be on stress.","No, the examination pattern which grades and gives marks are impractical. Constructive project and team work activities and individual development activities are better for development of a student and it's more helpful in knowledge building. Marks never reflect the capability of students. ",Entrance exam are just a means of convince to select only a particular number of students based on marks. And marks has become more important now than actually gaining practical knowledge.,5,4,3,1,2,5,10,"Success is when you prosper in all directions of life from health, wealth, family relations and happiness. Success is when you believe in yourself and live out the best version of yourself.","Education is just the foundation of life what is important is what I build on it, and what I want to achieve is my definition of success.","Being practical, hands on learning, activities and instead of grades or marks, it should be feedbacks. Attempting all questions is impressive, but attempting only one question with impressive answers is also an achievement. Remember in the time of sages, where marking system didn't exist people travelled to gain real knowledge and knowledge acquired then wasn't some kind of roat learning it was a kind of knowledge which was impressed on there mind and heart.","Hands on learning is the best, knowledge with knowing how to apply is useless. How do learn to cook and become expert at it , by actually doing it and not just watching YouTube videos and reading recipe books."
10-08-2022 22:45,21,Male,BE aerospace,8/20/2023,Yes,Childhood passion,Yes it is,None,Look out for universities abroad,6,"Reading books, social meetings and distractions","Not at all, its very bland and monotonous","They are good, but needs more malleability to improve the way they are assessed",2,3,4,5,1,8,9,When a fish can climb a tree?,add value to the existing industry and see the old techniques evolve ,Take into account all the students and not just the society's cream,"No specific reason, just interest"
10-08-2022 22:46,22,Male,Master's in Data Science,07-01-2023,Yes,It is one of the most sorted out job,No,"Time, Cost",Get a job as a Business Analyst or a Data Analyst,6,By taking proper rest and giving time to brain and body to refresh.,"No, the current examination pattern is somewhat more in favour of average and weak students.",It is a must so as to filter out students who really want to do something from those who are just sitting for getting a job,1,2,4,3,5,10,6,Success is when you are able to achieve something which is even better than your expectations.,I want every single thing that I have learnt to be applied somewhere or the other in my life.,"First of all, not failing in lower standards should be avoided because the mindset of the students become such that when pressure will come at a later stage they might not be able to tackle it.
Secondly, rather than going behind theoretical concepts, things should be related to daily life examples and studying from images, videos, animations etc should be increased to make study enjoyable for the students.","Because all the human brains are designed to work more efficiently when they are stress-free. Also, gaming, video explanations etc are more likely to make concepts clear easily."
10-08-2022 22:47,21,Female,Msc datascience,5/21/2023,Yes,Job opportunities,Yes,Datascience is my 1st preference,To get placed in core company and gain knowledge about my domain,9,Rewatching favourite movie /series. Listening to music ,No.,"It's important ,as it will qualify the students those who can handle the subject . Passionate students will given more chances. ",5,4,2,3,1,9,7,A peace life with satisfaction.,Knowledge about my domain with decent package ,"More Pratical classes.
Practical explanations for each topic.
No book back questions during the final exams.
Project based learning 
",Upcoming domain with more job opportunities 
10-08-2022 22:47,26,Male,Msc. Data Science,6/30/2023,No,Area of Interest,Yes,NA,Job,8,Watching Anime,"No, It isn't. ",NA,5,3,1,2,4,9,8,Inspiring to do more.,Applications of Knowledge.,Conceptual Teaching and not focusing on scoring marks.,I like to Analyse Data.
10-08-2022 22:50,22,Male,MSc in Data Science ,6/20/2023,Yes,Because This is one of the best colleges that provides this program ,Yes,I got my preference ,To be in one of the top MNCs as a Manager in the next few years,10,By talking to your closed ones,Yes.It is appropriate but it can more challenging in terms of validation of skills.,University Entrance Examinations are really competitive and up to date.,1,4,3,2,5,6,8,To be financially independent and emotionally healthy before reaching an age of 40.,I want to achieve a successful career in my professional domain and be a high rational person.,To make it more practical and interactive.,Because we really need to change the traditional approach as we move ahead with time.
10-08-2022 22:50,24,Female,Industrial design ,06-01-2023,Yes,My passion for design ,Yes,NA,Start up,10,By eating a lot,I think it’s testing our memory more which shouldn’t be the only thing to test,Very stressful ,2,3,1,5,4,8,4,To be able to afford all the things I like,Growth in knowledge ,We should normalize home schooling or hybrid ,I think it’s more practical 
10-08-2022 22:50,23,Male,MSc Data Science ,6/30/2023,No,Because it's one of the best colleges in India that provides this course,Yes. I had no other option.,NA,To work with top MNCs.,10,Talking to my closed ones.,No. It doesn't assess a student's skills,It's a good way to shortlist skilled candidates,5,4,1,2,3,6,9,It's the learning you achieve from the journey,I want to achieve great experiences in life and also want to educate other people.,Introduce projects to build instead of taking 3 hour long exams.,Real world use cases help a student to understand how businesses work.
10-08-2022 22:51,21,Female,Data science ,7/31/2023,Yes,Knowledge and know about this new upcoming field,Yes it's my first preference ,Nothing ,Explore myself and know about people.,8,When I get stress I used to go out and play ,Yes it's good it can be enough to know that how knowledgeable a student is.,It's a good way to get a good skill students.,4,2,3,5,1,7,9,To achieve goal.,A good place in company in which I got placed.,"Interactive sessions , group discussions, Active participation. ",I want to explore in this field.
10-08-2022 22:54,23,Male,MBBS,2/16/2024,Yes,Passion to become a doctor ,Yes 1st preference ,NA,To become a surgeon ,10,Taking breaks at regular intervals ,50 50 call,Standard ,1,2,3,4,5,10,8,Achieving the small goals u set daily ,Help people ,The current education system is great ,Passion 
10-08-2022 22:58,22,Male,MSc Data Science,7/31/2023,Yes,"Enthusiasm to learn about data, ML, AI, DL and Data Science as a whole","no, 1, MSc Computer Science or MSc Data Science in IIT, 2. MSc Computer Science from CMI, 3 .MCA in NIT College, 4. MSc Data Science Vellore",Could not pass in other exams.,To get good quality knowledge on Data Science.,9,"Work, study to improve my skill",yes and kind of no also there can be some other ways to asses the students knowledge.,University Entrance exam must not only be just a test but it should also include other activity like interview and some other skill based practical test to asses whether the student is fit for the course or not.,4,5,1,2,3,10,10,when you are happy with what you are doing and have impacted positively to a persons life.,"To solve problem of people, organization and spread what you have learnt.","There is a lot to change the exam, the way of teaching, the way of assessing a student and behavior of each and every individual within the boundary of the institute to be positive and calm.",College And teaching
10-08-2022 23:00,23,Female,M.Sc. biomedical genetics ,5/20/2023,No,Interest for the subject and to learn new things,Neuroscience or reproductive- development biology ,Didn't get into college of choice/ course not offered in India in most colleges,Get proper lab experience ,9,I procrastinate and then break down under the pressure ,"Nope. In my field, practical experience is more relevant.. learning through performing and current exam patterns don't really help",They could have a different pattern which doesn't just test book knowledge. Not denying it's importance but it's not all thats there. It's learning without execution ( in specific to my field of study),4,3,2,1,5,6,8,Understanding and executing an action and being able to question the result and build on it ,Curiosity as to why I am doing what I am doing and how can I do it better. I want to learn how to do what I'm doing better,"More open practical experiences. Removing the ""force factor"" of studying. I.e. attendance requirements and need to complete x credits in x years. Maybe adopt the portion of foreign education system that allows one to take a break from their current education to work and then resume from where they stopped. This will allow people to explore what their field has to offer while studying so they know they're making a right career choice without wasting time. This also allows them to explore completely unrelated career paths to what they're studying. ",Practical learning shows where a person is in real world situations in my field
10-08-2022 23:00,21,Female,Masters,05-02-2023,Yes,Career and interest ,Yes,Maybe job opportunity ,Final year project with 1st class course completion ,8,Watch kdrama and Listen to music ,Not really ,Difficult ,4,3,2,1,5,9,8,Achieving what I planned to attain ,Highly paid job with comfortable workplace ,Reduce mark based treatment and improve practical knowledge ,Dream career
10-08-2022 23:02,21,Female,MBA General ,3/31/2024,Yes,The exposure it gives,Yes,I did not change preference,A well paid corporate job in the field of business analytics,9,Hustle ,I believe a continuous assessment will be more efficient than an end term examination as it will tap the students’ knowledge better,They sometimes fail to recognise truly bright students.,5,1,4,2,3,9,8,Doing a job that you like,Views of more perspectives and imbibing soft skills,To have more discussion based learning and hands on learning,This is the method followed by the professors in my college and it has been very effective as it helps students broaden their thinking.
10-08-2022 23:03,24,Female,Masters of Science,6/15/2023,No,Looking at demand and importance,First preference was to make a career in medicine ,Realizing my interests and potential in performing better in other field ,"To get a job, to start content writing",10,"By drawing, watching videos, talking it out","No, it is not appropriate. It is meaningless to assess one's intelligence and capabilities based on marks. Moreover, the pattern of the examination does not make a student study for knowledge, but simply for grades. Also, the exam pattern leaves little room for exploration and mindset growth. ","The only problem I have with university entrance exam is reservation, because of which it is difficult to get into one's desired university.",5,3,1,2,4,5,8,Achieving your goals,Using all the knowledge I have gained into creating something meaningful. ,Introducing active learning and critical thinking skills,Peer pressure 
10-08-2022 23:04,22,Female,MBA Marketing and HR,6/30/2023,Yes,"I'm interested in Management,  hence MBA was my choice",Yes,-,A career in B2B SaaS Setting ,5,Introspection and Talking it out,"Yes , it is appropriate ",It's very essential to filter candidates but should not be the only criteria for selection ,4,1,5,2,3,8,9,Anything which keeps me motivated.,Apply it to make an impact in the world.,Case based learning. Education should be a two way communication rather than one way teaching.,Real time projects help in application of theory concepts which gives better clarity and understanding.
10-08-2022 23:05,23,Female,Msc Data science ,06-10-2023,Yes,"My uncle who is a scientist, suggested me this course ","Yes, data science was my first preference ",-,To get placed in a good company,7,Listening music,"No, the current examination pattern is not good enough as it doesn't develope practical knowledge for students. ",Entrance exams are mandatory as it makes sure whether a deserving candidate has been admitted.,3,2,4,5,1,10,6,"Every individual has their own goal as success. To me, success is not only just money but its respect and name you gained through your work.",My education must not only help me to live life but it should be in such a way that people around me must benefit something out of it.,Change of education system is a must. Examinations are just name sake. Rather practical knowledge must be improved.,Gamified learning encourages students by making them learn in a competitive way.
10-08-2022 23:07,22,Female,MBBS,3/15/2024,Sometimes ,Interest in the medical field,Yes it was my first preference ,Nothing ,Complete my post graduation after this,10,Spend time with friends ,"No, it only tests our memorising abilities ",Very competitive ,5,3,4,1,2,10,7,"Happy, healthy and content",Use my knowledge and skill to improve my own life and others',"Change the pattern of examinations, include projects and other activities done in school at the college level as well",Medicine is a very practical subject. So hands on learning would be the best
10-08-2022 23:08,23,Female,Data Science ,7/31/2023,Mostly yes. The curriculum is well planned however not implemented very well. Lack of apt professors and diverse background of all students are two major drawbacks in terms of quality of learning.,"Brand name of VIT, the curriculum and economical fee structure",It wasn't my first preference. PGDBA was my first preference due to it's rigorous curriculum and exposure,Requirement of work experience in Selection process of PGDBA and low fee at VIT,Work in data analytics role to get exposure and industry based learning.,10,"I watch movies, hang out with friends, or take walks. ",I feel the written question answer pattern is good assessment for comprehensive knowledge.. however it gets lost in between exams. some practical and group/solo activities could be done for understanding of concepts,Conservative. Don't consider the fact that all students understand and express knowledge and understanding in different ways.,4,2,1,5,3,3,10,Accomplishing the goals i set for myself,I'm not sure yet,Implementation of National Education Policy 2020,Doing projects means Concepts Applied in two words. It is a crash course on application of various important concepts and learning over reading the applications off the internet. 
10-08-2022 23:10,21,Male,M.Sc. Data Science ,10-08-2023,Nah,Placements ,Yes ,None ,Work as an Analyst ,10,Sleeping and eating ,Worst system in existence. ,Good Way to judge a candidate ,1,2,3,4,5,5,10,Be happy in life with whatever I'm doing. ,Knowledge ,Rather than teaching students stuff that won't even help them in their future they should teach practical things which are helpful in real world!,More efficient way of learning. 
10-08-2022 23:11,22,Female,MSc Data Science ,06-01-2023,Netural ,Current technology improvement ,Yes,Its my first preference ,Get placed ,10,Listening songs and speaking with frds ,Nope,Just for name sake,2,3,1,4,5,9,8,Try until you get success ,Knowledge and High salary job ,Basic should be strong and I think teacher should be more knowledgeable to teach the basics,Technology development 
10-08-2022 23:14,22,Female,M.Sc. in Microbiology,5/31/2023,yes,having interest,yes,no,get a decent job,7,wanna stay calm and finish the work taking small breaks in between,no. this semester system don't give us enough time to understand a subject properly. ,it can be good as we can get a chance though previous grades do not matter,1,2,4,5,3,8,9,to get what i want,"great knowledge, financial stability, mental peace",more practical educations and projects and events,i have interest
10-08-2022 23:17,20,Male,B.Sc,5/27/2023,No. I'm noy,It's three years instead of engineering which is 4,It definitely wasn't. Not really sure what my first preference would have been,"Parents, family, circumstances and years of studying as a science student",Just to do what I love and be happy,8,By sleeping,No It's not. Its just focused on scoring marks and emphasis memory than understanding,They are no different than the regular exams. ,1,3,5,2,4,3,4,Waking up everyday and looking forward to live that day and do what we love. ,An experience on how life treats us in different scenarios,"To not focus on marks. Rather one's interest and encouraging to do something new, something one loves",Just to get done with education. 
10-08-2022 23:18,22,Male,B.E/BTech - Information Science ,08-01-2022,Yeah,Similar field of interest ,CSE but similar syllabus ,Rank for the merit seat,Data Engineer/ Data Analyst,3,taking breaks and working ,More practical approach needed than theory/outdated syllabus ,"Change overall approch, make it less stressful ",5,2,1,3,4,8,9,Achieve what you desire,Get the best out of it,Make it modern probably and more interactive based,easier to adapt to corporate 
10-08-2022 23:21,22,Female,Data science,10-08-2023,No,Trending topic,Physics,Booming sector,10yrs want to work as analyst and business,9,Boosting up myself be telling positive words and thoughts,No,"
It could be better if it is possible to have an entrance exam
",3,2,4,5,1,9,6,Hard word without expecting .,want to get lots of knowledge and ideas and want to share to everyone,common system to all . equality in education,to achieve a short time goal 
10-08-2022 23:21,23,Female,Data science,6/30/2023,No,Family,Statistics,Curriculum,Data scientist,8,Diverting myself,No,They should remove the category system,3,2,4,5,1,7,7,Knowledge,Knowledge and money,By improving curriculum,Interest
10-08-2022 23:25,22,Female,Data Science ,06-01-2023,Yes ,Because of high demand and money.,Yes,Data science is a very growing and high paying field. ,To get a job in a reputed company and upskill myself with latest technologies.,6,"By watching movies , listening songs and sleep","No , it's all about mugging things and it only tests the knowledge of whatever student learnt in class.","There are very less seats in comparison to the talented people accross the country. Also , exams are very tough and difficult to crack. I think the seats should be increased and quota system should be removed.",2,3,4,1,5,8,9,"The term success differs for everyone. For some , it's all about scoring high grades . For some , it is getting gold medals in Olympics. For me success is getting a high paying job and living a luxury life. ","With my education, I want to get a good paying job. Apart from it , i want to gain some values that will help me throughout my life.","In schools and college , focus should be more on physical learning. Technical skills should be taught from the primary level school. Students should not be motivated to mug up things . Instead they should understand everything properly and apply in real life.",I think one should attend classes rather than studying at home because majority of people won't study. Students will get distracted and won't get proper environment.
10-08-2022 23:28,22,Female,M.Sc. Data Science ,5/26/2023,Yes,I'm interested in Statistics as well as programming.,Yes,NA,I haven't think about it.,8,Listen to song ,Yes,Good ,5,1,2,3,4,7,9,Being a achieved person. ,Employment ,By using modern learning techniques ,I liked the subject 
10-08-2022 23:29,22,Female,Student B Pharm ,12-01-2022,Yes,Inspired by family and CET results,"Bds, Mbbs, B pharm",This was the best option for me based on my interest and exam results. ,Completing my Masters in Pharmacy,8,I listen to music and watch dramas to distract myself. I also try to be punctual to reduce piling of work.,Not really. Honestly many students don't remember what they have studied after the completion of exams. It's not evaluating the students based on the requirements of practical world.,Stressful and highly competitive and complicated.,5,4,1,2,3,10,8,Success is when you complete one level and start preparing for the next. There is no ultimate level. However being happy and peaceful is also Success.,I want to at least earn a doctorate with PhD and maybe post doctorate too in the future.,Practical classes must be inculcated seriously and update with the current scenario and job requirements. All the information that is necessary for students must be provided and not just focusing on completion of syllabus and writing exams.,Personal preference. I am more comfortable with the teacher first explaining the concept and them studying by myself later to see if i fully understood the concept
10-08-2022 23:34,22,Female,MSc. Data Science ,5/31/2023,Yes,My interest towards the field.,Yes. It is my first preference.,Less exposures in the subject in application side.,To work in my field in a company.,7,Listening to music ,No. I think practical knowledge is also required along with subject knowledge which is lacking in the current scenario.,I don't think a student's capability can be evaluated properly by an entrance exam. ,5,4,2,1,3,8,7,Happiness in life.,Knowledge to do something for the society. ,Student's skill should be evaluated by a complete evaluation system rather than conducting exams and grading them through subject knowledge.,Hands-on experience is very much required.
10-08-2022 23:36,19,Female,12th,03-10-2021,Yes,I like maths,Yes,.,Government exams,9,Sleep,Not that much,It's important,5,1,2,3,4,10,5,Happiness and money,Earn money,More active classrooms,I think group study is the best
10-08-2022 23:41,22,Male,MSc data science ,06-08-2023,Yes,Better career opportunities ,No,My father ,To get job,9,With art,Not at all ,It's good filter quality students but main thing u shouldn't encourage donation ,2,3,5,4,1,10,10,It is not given by someone you should earn it,Nothing just a degree ,Don't push them study hard just them to do what they like,I have chosen different path
10-08-2022 23:43,25,Female,Ma English literature ,10-08-2022,Yes,Passion ,Yes,Nothing ,To become a lecturer ,10,I don't ,No. ,Assessment criteria could include various other unconventional forms of knowledge ,5,2,3,1,4,10,1,Contentment ,Happiness ,Make assessments more inclusive ,Like practical learning 
10-08-2022 23:44,25,Female,Msc Data Science ,6/30/2022,Not bad,The future,yes,-,Work in related field,8,-,"No,Not at all",it would be better to have a single exam for all the universities ,4,3,1,2,5,6,8,This is difficult to define!,"Good work,growth,new learnings and good pay",-,-
10-09-2022 00:09,24,Female,MBA(Finance & Marketing),06-10-2023,Yes,Interested in Management studies ,Yes,NA,Good Job ,8,"Yoga, Meditation ",Yes,"More Theoretical based, if it's more  pratical then it would be better.",1,2,3,4,5,7,7,Success is a journey and one must satisfy his work what he did. ,Education must be applied in pratical life.,More practical ,NA
10-09-2022 00:11,18,Female,B.Tech,05-01-2025,Yes,Interest in coding,Yes..,..,Good Placement ,4,Listening music,I don't think so..,VITEEE has good quality of questioning ,5,3,2,1,4,8,7,Satisfaction ,Money,..,..
10-09-2022 00:12,22,Female,MSc Data Science ,5/15/2023,Course is good but teaching methodology and approach used is not satisfactory.Must include practical application ,Interest in programming logic,"Not a first preference, Medical/Radiation Physics",Interest in logic and programming made me change my preference ,Data scientist/analyst,6,"Going on walk, talking to friend",I don't think it's correctly assessing the students knowledge....instead of theory practical approach should be put to test ,instead of theory practical approach should be put to test ,1,2,3,4,5,5,7,Success means to be independent to me..,Better lifestyle and would want to contribute to society in its economic and social growth. ,Practical and hands on learning approach with real world problems,I wanted to work on the curing cancers using radiation more safer than today the technology is. 
10-09-2022 00:29,22,Male,UG,5/25/2021,Kind of,Situations,"Nope. 
I prefer not to talk about it for now. ","Family, people other than family influencing my family. ",A career I've set up for myself with the help of a friend. ,3,"Training - Body and mind, food, chocolates, fake scenarios, gaping into complete darkness, sports. ","I don't feel so. Because whatever is the pattern of examinations accepted worldwide, it's only monetising the students themselves as assets of the future and not as their own independent identities. At one point, it makes an impression that even if they had worked their lives off to get to that successful point, they lose a part of themselves which they eventually begin to search after acquiring what the world wants them to. Examinations should be based on the students' interests and abilities. ",No comments.,4,2,3,1,5,9,8,"Success is the peace one feels that can be related to the life quenching sip of water after a walk under the desert Sun. At the end of the day, what anybody wants, is peace, and that would be my definition. Success, is peace. ",Knowledge,"Education should be free. Knowledge should be free. Not monetised. Knowledge is what should be shared with free will, and not at the expense of someone's life's hard work. ","Self study is one of the best ways to educate oneself, but education under someone's guidance is more preferable since mistakes of someone would be pointed out only if viewed from another's point of view. "
10-09-2022 00:52,23,Male,MSc Data science ,10-09-2023,Yes,"Knowing that we are moving towards an online style of life, which meant more and more data. And I wanted to learn how to use that data in a responsible and efficient manner","It was yes. Although the curriculum varies very much from what I had hoped and expected, the subject is still the same.",None,"For now, get a job in a relevant field. And expand my career slowly from there",8,Talking to people helps. Playing cricket watching movies make me forget my worries for that length of time,"Absolutely not. A student not having any knowledge about the subject can easily score good marks while a knowledgeable student may lose out on marks because the answers don't match the ""solution key"". Very few teachers appreciate approaching a problem in a novel way, most of them except us to follow a template which they never provide.","It is necessary to evaluate where the student stands before he/she begins the curriculum. This way a healthy competition standard can be maintained amongst peers and students who are weak will be encouraged to do better. Yes not getting into a university of choice can be depressing, but it does help us to filter out students from a lot.",5,4,1,2,3,8,9,To have enough to take care of the ones close to me and then some.,Get a good job and be successful ,"Merit should be given a greater priority always. Aid should be given after a background check has been done on the student and if he/she truly needs it, give him/her the help otherwise don't crush the dreams of someone just based in their surnames.","The best way to learn is when we do research about a particular topic (for me). We get to know a lot more about the topic and even though it takes more time, our knowledge is complete."
10-09-2022 01:19,22,Female,MSc Data Science ,5/30/2023,Yes,Market value,Yes,NA,Working in corporate sector,8,Music keeps me sane,Not at all. The present examination system only checks the memory of a student and not the knowledge ,Universities must take aptitudes and interviews,1,4,5,3,2,6,8,If you are happy with what you are doing you are successful,As much knowledge as I can gain,Making it more project and practical based,Growing field of data
10-09-2022 01:20,21,Female,"BSc Chemistry, Botany and Microbiology",10-09-2022,Yes,I am deeply interested in bio science fields,It was my first preference ,I did not change my preference ,Master's degree and then job,10,I go to therapy and discuss with my loved ones.,I believe that the current method of assessment is overly stressful and does nothing except assess your capacity for rote memorisation. ,I don't see the point in them. Every new year they devise new exams for this and that to the point where students now have to take 5+ exams to get anywhere. What is the point? We're just being trained to work like slaves.,3,1,5,4,2,9,9,"When I can see to it that my needs and wants are met, and I can have a positive impact on society and humans as a whole.",I want to help improve our understanding of how living things work (biologically),More engaging and practical learning instead of boring theory.,I believe discussion and debate promots understanding.
10-09-2022 01:39,22,Male,Bsc.Information Technology,7/30/2021,"Initially im not happy with it but after some time i get used to it but still if you ask me yes or no, my answer would be No ","There are multiple factors responsible for why i had choosen this course, one of the reason is lack of self awarness, lack of confidence in myself, no proper guidance at right time. If there if confidence and self awarness in myself then there is no need for guidance but at that time anything is ok for me was my mindset again considering  multiple factors  such as economic condition , family condition my sister is there after me .. etc.","I had  preference but not Information Technology as my first preference in fact at the time of admission information technology was only available for me other courses get filled up as i made late decision to take chemistry considering family conditions, im not able get what i need but i got what they had . The main preference for me without considering any economic conditions,  was Bsc.Agriculture this was my interest too from my childhood.",I've already mentioned on these factors in the above fields. So please check it out.,Currently im a VIP its not Very Important Person in tamil we used to say vellai illa pattathari which means graduate without any job. And my short trrm career goal is to get a job 😂 in Information Technology  as a frontend developer... But i dont like it any way i need a job thats why ...,8,By spending time with my passion by cycling and going to badminton and also by talking to my friends,"I have a question for u to answer this question, where will u apply this knowledge that the examination needs, after the assessment gets over.Does every body gets opportunity to apply it practically . The answer according to me is no , the examination pattern is for  assessing theoritical knowledge not the practical one ... ","I've attended one for MCA which was conducted by TANCET for my course there were approx 6000 candidates i got 91% among them without any preperation  but it depends on multiple factors  question paper, main thing is our mind set on the examination day , but speaking as a whole  especially entrance examination for university it is for name sake according to me for that course which ive attended because even if dont get passed i can get a seat in management quota and even if i get through examination only a mere margin of that fee is getting reduced so whats the point in writing that examination.",4,1,2,3,5,7,5,If anything which i've learned is usefull for me and others in the society and if i could do something notable to mother nature it would be a success for me,The answer for this question was  also included above in last answer.,"To make education enjoyable it is practically no possible according to me because i believe everyone has their own taste of method for enjoying their learning and also it always changes with generation to generation what ours parents liked may not be liked by us as we are in fast changing digital era our predictions might be wrong even before releasing our survey thats how fast we are and how slow we are in our decision making  in educational policy anything which matches both the paces is good. And i think the information i useful for the survey , if u need any clarifications feel free to contact me through  my mail... gokulm60it@gmail.com
Thank you",Because i personally experienced it because during my 9th and 10th  i scored good marks  using this method before that i  never tried it and after 10th i dont get that opportunity.
10-09-2022 04:02,22,Male,M.Sc. Data science ,06-01-2023,Yes,Interest in data,Yes,NIL,Work for a good organization which will help me to learn and grow.,8,Listening songs,"According to me No, it should be more practical based and mainly should be industry related.",They are necessary in order to filter out the rest.,1,2,4,3,5,9,7,"Success to me is not anything huge but just want to be independent, responsible, good person, and a good data scientist.",I want to work for a good organization in order to express my knowledge and also learn new techniques which will help me grow.,"It's fun till school sangoty but nahii thik aa
You wear anything you areeen thesssttt",According to me it is not effective and not every student will study.
10-09-2022 05:39,22,Female,Data science ,06-09-2023,Yes,Personal interest ,"Yes it is
",No change,Get a core job in a good company ,8,Self realisation and meditation ,Yes it is fair enough ,The exam is conducted all india basis so everyone gets equal opportunities to excel in the exam.,5,1,2,3,4,7,9,When a person is proud of what they have achieved ,I want to successfully apply my knowledge in real life cases ,Interactive sessions,It enables creative and cognitive thinking ability 
10-09-2022 08:06,22,Male,"CA Inter (Chartered Accountancy Course), B Com (A&F)",4/30/2020,Not completely,Interest towards the subject & profession,Yes,NA,To complete the course and get a job,10,Not good at managing stress 🥲 (any tips?),"No, the current exam pattern focuses more on the memory capacity of the student, rather than his practical or professional capacity.","In most of the cases, the school educational curriculum itself should have prepared the student to clear university entrance examinations, but since it's not the case, unless the coaching is same for everyone, it benefits only the higher class of the society.",5,3,1,2,4,10,7,Ability to live a happy life with whatever you have.,A happy life to live.,"Identify the interests and talent of the students at a much earlier age, streamlining them towards the development of their talents by more of a vocational kind of syllabus, examining them with practical knowledge.",Learning through doing projects and engaging them with real life problems - helps the students in understanding the problems and challanges they are expected to face in their professional career and will ultimately grow them as a professional from the campus itself.
10-09-2022 08:07,22,Male,B.E in Mechanical,07-07-2022,Satisfactory ,Interest and Passion,"Yes, it was first preference.",Did not change my preference ,Earning as much as possible.,8,Talk to people and play cricket.,Not appropriate.,Reservation system should be stopped.,5,1,3,4,2,10,4,Happiness and Contentment.,Solve problems at my workplace,"Constant adaptation of syllabus to present scenario, abandonment of reservation system, good education infrastructure and environment.",Passion towards Automobile 
10-09-2022 09:06,21,Female,M. Sc mathematics,7/31/2023,Yes,Interested in this course,Yes,No,Get a job,3,Watching movies,Not much,Not required,2,3,4,5,1,8,7,Satisfy ur self,Knowledge,Open classroom,Interest
10-09-2022 09:11,23,Female,MSC biomedical genetics ,6/15/2023,yes,I was interested in doing higher studies,it was my first preference ,nil,get an internship ,6,watch videos or movies,no,"foe masters entrance,  the syllabus should include the portion taught in bachlors rather than 11 and 12th standard ",2,3,1,4,5,8,9,when you can provide for ur parents ,a good lifestyle ,"stop focusing so much on the ranks , rather focus on the students suffering behind to get those Mark's ",I was interested in genetics 
10-09-2022 09:17,24,Female,MBBS,2/15/2021,Yes,My dream,Yes,None,Study further,6,Hobbies. Music and book reading. ,Not really. Current examination system is focused mainly on the ability of the student to remember rather than apply. But in medical field I have heard recently the curriculum has changed tona more practical one which is how every course and discipline exams should be. ,They also should follow the more practical skills and knowledge than just theory and mugging.,2,1,5,3,4,8,9,"Hard working and sincere efforts to learn and being curious is the baseline. When you are not curious, you are not putting enough effort to understand the concepts and hence the result. ",My dreams of being a decent successful and self independent working woman. ,"Like I said, the methodology of teaching, the protocol of learning and the curriculum has to be revised and made differently for a change to be visible. Active learning over passive. ",Active learning has always proved effective and hence implementation of the same in the curriculum would be a promising teaching method for the future students. 
